timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,cumulative_generated_response_tokens,cumulative_rollout_tokens
1789654368.3777263,rollout,39,40,0.675000011920929,0.5188509821891785,1.100000023841858,0.0,0.675000011920929,0.5188509821891785,0.09699218720197678,4.284083843231201e-08,0.8164894580841064,0.25,0.75,0.75,0.8125,0.59375,0.5,0.25,0.25,0.5,22922,3312,26234,358.15625,931606,1084750
1789654386.5416539,rollout,40,41,0.9671875238418579,0.3545866012573242,1.100000023841858,0.0,0.9671875238418579,0.3545866012573242,0.07255859673023224,3.306195139884949e-08,0.5773489475250244,0.625,0.375,0.375,0.921875,0.875,0.625,0.625,0.0,0.375,19134,3136,22270,298.96875,950740,1107020
1789654395.7932565,rollout,41,42,0.5640624761581421,0.5411238074302673,1.100000023841858,0.0,0.5640624761581421,0.5411238074302673,0.12201172113418579,2.60770320892334e-08,0.8164911866188049,0.25,0.75,0.75,0.640625,0.5,0.375,0.125,0.25,0.625,27087,4392,31479,423.234375,977827,1138499
1789654404.7103918,rollout,42,43,0.8468749523162842,0.44220542907714844,1.100000023841858,0.0,0.8468749523162842,0.44220542907714844,0.05457031726837158,-0.0009312722831964493,0.5773541331291199,0.625,0.375,0.375,0.96875,0.75,0.625,0.5,0.125,0.375,19270,3360,22630,301.09375,997097,1161129
1789654413.9497156,rollout,43,44,0.831250011920929,0.4696756899356842,1.100000023841858,0.0,0.831250011920929,0.4696756899356842,0.09933594614267349,4.563480615615845e-08,0.6666651964187622,0.5,0.5,0.5,0.8125,0.75,0.5,0.375,0.125,0.5,25273,3632,28905,394.890625,1022370,1190034
1789654423.0163455,rollout,44,45,0.8250000476837158,0.4615364372730255,1.100000023841858,0.0,0.8250000476837158,0.4615364372730255,0.11917969584465027,5.029141902923584e-08,0.7453542947769165,0.375,0.625,0.625,0.90625,0.734375,0.375,0.375,0.0,0.625,22990,3368,26358,359.21875,1045360,1216392
1789654431.9172258,rollout,45,46,0.9828125238418579,0.33738240599632263,1.100000023841858,0.0,0.9828125238418579,0.33738240599632263,0.09669922292232513,3.632158041000366e-08,0.6666651964187622,0.5,0.5,0.5,0.921875,0.890625,0.5,0.5,0.0,0.5,22019,3648,25667,344.046875,1067379,1242059
1789654440.7867627,rollout,46,47,0.9546874761581421,0.36250001192092896,1.100000023841858,0.0,0.9546874761581421,0.36250001192092896,0.08712891489267349,5.774199962615967e-08,0.6666650772094727,0.5,0.5,0.5,0.953125,0.859375,0.5,0.5,0.0,0.5,21097,3192,24289,329.640625,1088476,1266348
1789654449.718759,rollout,47,48,0.8374999761581421,0.4589498043060303,1.100000023841858,0.0,0.8374999761581421,0.4589498043060303,0.13621094822883606,4.470348358154297e-08,0.7453544735908508,0.375,0.625,0.625,0.875,0.75,0.375,0.375,0.0,0.625,22567,3672,26239,352.609375,1111043,1292587
1789654458.7822962,rollout,48,49,0.8203125596046448,0.46944063901901245,1.100000023841858,0.0,0.8203125596046448,0.46944063901901245,0.09642578661441803,5.029141902923584e-08,0.745354175567627,0.375,0.625,0.625,0.859375,0.734375,0.375,0.375,0.0,0.625,24399,3632,28031,381.234375,1135442,1320618
1789654467.6966932,rollout,49,50,0.8531249761581421,0.4503856599330902,1.100000023841858,0.0,0.8531249761581421,0.4503856599330902,0.07613281905651093,3.725290298461914e-08,0.6666624546051025,0.5,0.5,0.5,0.875,0.765625,0.625,0.5,0.125,0.375,23466,3152,26618,366.65625,1158908,1347236
1789654488.094757,rollout,50,51,0.809374988079071,0.4689463973045349,1.100000023841858,0.0,0.809374988079071,0.4689463973045349,0.10082031786441803,3.166496753692627e-08,0.745354175567627,0.375,0.625,0.625,0.90625,0.71875,0.375,0.375,0.0,0.625,25025,5064,30089,391.015625,1183933,1377325
1789654497.2309067,rollout,51,52,0.953125,0.366436630487442,1.100000023841858,0.0,0.953125,0.366436630487442,0.08839844167232513,4.470348358154297e-08,0.6666651368141174,0.5,0.5,0.5,0.9375,0.859375,0.5,0.5,0.0,0.5,22329,3920,26249,348.890625,1206262,1403574
1789654506.166114,rollout,52,53,0.9218750596046448,0.3945939242839813,1.100000023841858,0.0,0.9218750596046448,0.3945939242839813,0.1251171976327896,8.940696716308594e-08,0.8164945840835571,0.25,0.75,0.75,0.9375,0.828125,0.25,0.25,0.0,0.75,20494,3472,23966,320.21875,1226756,1427540
1789654515.0991943,rollout,53,54,1.0031250715255737,0.3039260506629944,1.100000023841858,0.0,1.0031250715255737,0.3039260506629944,0.07054688036441803,3.91155481338501e-08,0.5773489475250244,0.625,0.375,0.375,0.96875,0.90625,0.625,0.625,0.0,0.375,22102,3536,25638,345.34375,1248858,1453178
1789654524.016526,rollout,54,55,1.03125,0.2683725357055664,1.100000023841858,0.0,1.03125,0.2683725357055664,0.05199219286441803,1.862645149230957e-08,0.47140347957611084,0.75,0.25,0.25,0.9375,0.9375,0.75,0.75,0.0,0.25,21748,3664,25412,339.8125,1270606,1478590
1789654532.832641,rollout,55,56,0.8968749642372131,0.4055052697658539,1.100000023841858,0.10000000149011612,0.8968749642372131,0.4055052697658539,0.068359375,3.3527612686157227e-08,0.5773489475250244,0.625,0.375,0.375,1.0,0.796875,0.625,0.625,0.0,0.375,19850,3712,23562,310.15625,1290456,1502152
1789654541.6093488,rollout,56,57,0.981249988079071,0.3417392671108246,1.100000023841858,0.0,0.981249988079071,0.3417392671108246,0.0940234437584877,3.91155481338501e-08,0.6666651368141174,0.5,0.5,0.5,0.90625,0.890625,0.5,0.5,0.0,0.5,21928,3328,25256,342.625,1312384,1527408
1789654550.417393,rollout,57,58,0.9890624284744263,0.31928351521492004,1.100000023841858,0.0,0.9890624284744263,0.31928351521492004,0.08685547858476639,5.774199962615967e-08,0.6666651368141174,0.5,0.5,0.5,0.984375,0.890625,0.5,0.5,0.0,0.5,20718,3232,23950,323.71875,1333102,1551358
1789654559.1131082,rollout,58,59,1.100000023841858,0.0,1.100000023841858,1.100000023841858,1.100000023841858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,20639,3520,24159,322.484375,1353741,1575517
1789654567.8780804,rollout,59,60,0.9546874761581421,0.36250001192092896,1.100000023841858,0.0,0.9546874761581421,0.36250001192092896,0.06638672202825546,2.60770320892334e-08,0.5773489475250244,0.625,0.375,0.375,0.953125,0.859375,0.625,0.625,0.0,0.375,22430,2976,25406,350.46875,1376171,1600923
1789654585.3521748,rollout,60,61,0.8312499523162842,0.4696756899356842,1.100000023841858,0.0,0.8312499523162842,0.4696756899356842,0.12941406667232513,4.7497451305389404e-08,0.7453543543815613,0.375,0.625,0.625,0.8125,0.75,0.375,0.375,0.0,0.625,24863,3840,28703,388.484375,1401034,1629626
1789654594.3402164,rollout,61,62,0.9078124165534973,0.40367546677589417,1.100000023841858,0.0,0.9078124165534973,0.40367546677589417,0.049980469048023224,-0.0009313076734542847,0.47141000628471375,0.75,0.25,0.25,0.953125,0.8125,0.75,0.625,0.125,0.25,21402,3368,24770,334.40625,1422436,1654396
